"target_index","state","target","after_v2","before_v4","after_v4","overlay","diff","mean_absolute_rgb_diff","manual_geometry_review","status"
"19","home_and_property_type","artifacts/v4-exact-design/target/019.png","artifacts/screenshot-locked/after-live/home-390x844.png","artifacts/v4-exact-design/before/019-home-default.png","artifacts/v4-exact-design/after/019-home-default.png","artifacts/v4-exact-design/overlays/019.png","artifacts/v4-exact-design/diffs/019.png","34.659","PASS","PASS"
"24","home_and_property_type","artifacts/v4-exact-design/target/024.png","artifacts/screenshot-locked/after-live/home-390x844.png","artifacts/v4-exact-design/before/024-home-property-control.png","artifacts/v4-exact-design/after/024-home-property-control.png","artifacts/v4-exact-design/overlays/024.png","artifacts/v4-exact-design/diffs/024.png","42.065","PASS","PASS"
"32","home_and_property_type","artifacts/v4-exact-design/target/032.png","artifacts/screenshot-locked/after-live/home-390x844.png","artifacts/v4-exact-design/before/032-home-search.png","artifacts/v4-exact-design/after/032-home-search.png","artifacts/v4-exact-design/overlays/032.png","artifacts/v4-exact-design/diffs/032.png","34.922","PASS","PASS"
"35","location_and_zone_map","artifacts/v4-exact-design/target/035.png","artifacts/screenshot-locked/after-live/location-390x844.png","artifacts/v4-exact-design/before/035-location-entry.png","artifacts/v4-exact-design/after/035-location-entry.png","artifacts/v4-exact-design/overlays/035.png","artifacts/v4-exact-design/diffs/035.png","19.629","PASS","PASS"
"37","location_and_zone_map","artifacts/v4-exact-design/target/037.png","artifacts/screenshot-locked/after-live/map-draw-instruction-390x844.png","artifacts/v4-exact-design/before/037-map-draw-instruction.png","artifacts/v4-exact-design/after/037-map-draw-instruction.png","artifacts/v4-exact-design/overlays/037.png","artifacts/v4-exact-design/diffs/037.png","40.029","PASS","PASS"
"42","location_and_zone_map","artifacts/v4-exact-design/target/042.png","artifacts/screenshot-locked/after-live/map-draw-instruction-390x844.png","artifacts/v4-exact-design/before/042-map-drawing.png","artifacts/v4-exact-design/after/042-map-drawing.png","artifacts/v4-exact-design/overlays/042.png","artifacts/v4-exact-design/diffs/042.png","40.175","PASS","PASS"
"43","location_and_zone_map","artifacts/v4-exact-design/target/043.png","artifacts/screenshot-locked/after-live/search-map-390x844.png","artifacts/v4-exact-design/before/043-map-polygon.png","artifacts/v4-exact-design/after/043-map-polygon.png","artifacts/v4-exact-design/overlays/043.png","artifacts/v4-exact-design/diffs/043.png","43.460","PASS","PASS"
"45","location_and_zone_map","artifacts/v4-exact-design/target/045.png","artifacts/screenshot-locked/after-live/selected-zone-results-390x844.png","artifacts/v4-exact-design/before/045-selected-zone-list.png","artifacts/v4-exact-design/after/045-selected-zone-list.png","artifacts/v4-exact-design/overlays/045.png","artifacts/v4-exact-design/diffs/045.png","45.443","PASS","PASS"
"46","filters","artifacts/v4-exact-design/target/046.png","artifacts/screenshot-locked/after-live/filters-top-390x844.png","artifacts/v4-exact-design/before/046-filters-top.png","artifacts/v4-exact-design/after/046-filters-top.png","artifacts/v4-exact-design/overlays/046.png","artifacts/v4-exact-design/diffs/046.png","24.729","PASS","PASS"
"49","filters","artifacts/v4-exact-design/target/049.png","artifacts/screenshot-locked/after-live/filters-middle-390x844.png","artifacts/v4-exact-design/before/049-filters-middle.png","artifacts/v4-exact-design/after/049-filters-middle.png","artifacts/v4-exact-design/overlays/049.png","artifacts/v4-exact-design/diffs/049.png","23.894","PASS","PASS"
"53","filters","artifacts/v4-exact-design/target/053.png","artifacts/screenshot-locked/after-live/filters-bottom-390x844.png","artifacts/v4-exact-design/before/053-filters-lower.png","artifacts/v4-exact-design/after/053-filters-lower.png","artifacts/v4-exact-design/overlays/053.png","artifacts/v4-exact-design/diffs/053.png","24.313","PASS","PASS"
"55","filters","artifacts/v4-exact-design/target/055.png","artifacts/screenshot-locked/after-live/filters-bottom-390x844.png","artifacts/v4-exact-design/before/055-filters-bottom.png","artifacts/v4-exact-design/after/055-filters-bottom.png","artifacts/v4-exact-design/overlays/055.png","artifacts/v4-exact-design/diffs/055.png","25.149","PASS","PASS"
"57","results_map","artifacts/v4-exact-design/target/057.png","artifacts/screenshot-locked/after-live/search-list-390x844.png","artifacts/v4-exact-design/before/057-results-list.png","artifacts/v4-exact-design/after/057-results-list.png","artifacts/v4-exact-design/overlays/057.png","artifacts/v4-exact-design/diffs/057.png","53.364","PASS","PASS"
"60","results_map","artifacts/v4-exact-design/target/060.png","artifacts/screenshot-locked/after-live/search-map-390x844.png","artifacts/v4-exact-design/before/060-results-map-overview.png","artifacts/v4-exact-design/after/060-results-map-overview.png","artifacts/v4-exact-design/overlays/060.png","artifacts/v4-exact-design/diffs/060.png","41.814","PASS","PASS"
"63","results_map","artifacts/v4-exact-design/target/063.png","artifacts/screenshot-locked/after-live/search-map-390x844.png","artifacts/v4-exact-design/before/063-results-map-zoomed.png","artifacts/v4-exact-design/after/063-results-map-zoomed.png","artifacts/v4-exact-design/overlays/063.png","artifacts/v4-exact-design/diffs/063.png","42.721","PASS","PASS"
"66","results_map","artifacts/v4-exact-design/target/066.png","artifacts/screenshot-locked/after-live/map-selected-listing-390x844.png","artifacts/v4-exact-design/before/066-results-map-preview.png","artifacts/v4-exact-design/after/066-results-map-preview.png","artifacts/v4-exact-design/overlays/066.png","artifacts/v4-exact-design/diffs/066.png","53.936","PASS","PASS"
"68","results_map","artifacts/v4-exact-design/target/068.png","artifacts/screenshot-locked/after-live/listing-390x844.png","artifacts/v4-exact-design/before/068-listing-entry.png","artifacts/v4-exact-design/after/068-listing-entry.png","artifacts/v4-exact-design/overlays/068.png","artifacts/v4-exact-design/diffs/068.png","50.495","PASS","PASS"
